CPUOperator,Score
CoalesceExec,3.0
CollectLimitExec,3.0
ExpandExec,3.0
FileSourceScanExec,3.0
FilterExec,2.8
GenerateExec,3.0
GlobalLimitExec,3.0
LocalLimitExec,3.0
ProjectExec,3.0
RangeExec,3.0
SampleExec,3.0
SortExec,8.0
SubqueryBroadcastExec,3.0
TakeOrderedAndProjectExec,3.0
UnionExec,3.0
AQEShuffleReadExec,3.0
HashAggregateExec,4.5
ObjectHashAggregateExec,3.0
SortAggregateExec,3.0
InMemoryTableScanExec,3.0
DataWritingCommandExec,3.0
ExecutedCommandExec,3.0
AppendDataExecV1,3.0
AtomicCreateTableAsSelectExec,3.0
AtomicReplaceTableAsSelectExec,3.0
BatchScanExec,3.0
OverwriteByExpressionExecV1,3.0
BroadcastExchangeExec,3.0
ShuffleExchangeExec,4.2
BroadcastHashJoinExec,5.1
BroadcastNestedLoopJoinExec,3.0
CartesianProductExec,3.0
ShuffledHashJoinExec,3.0
SortMergeJoinExec,22.7
AggregateInPandasExec,1.2
ArrowEvalPythonExec,1.2
FlatMapCoGroupsInPandasExec,3.0
FlatMapGroupsInPandasExec,1.2
MapInPandasExec,1.2
PythonMapInArrowExec,3.0
WindowInPandasExec,1.2
WindowExec,3.0
HiveTableScanExec,3.0
Abs,4
Acos,4
Acosh,4
Add,4
AggregateExpression,4
Alias,4
And,4
ApproximatePercentile,4
ArrayContains,4
ArrayExcept,4
ArrayExists,4
ArrayIntersect,4
ArrayMax,4
ArrayMin,4
ArrayRemove,4
ArrayRepeat,4
ArrayTransform,4
ArrayUnion,4
ArraysOverlap,4
ArraysZip,4
Ascii,4
Asin,4
Asinh,4
AtLeastNNonNulls,4
Atan,4
Atanh,4
AttributeReference,4
Average,4
BRound,4
BitLength,4
BitwiseAnd,4
BitwiseNot,4
BitwiseOr,4
BitwiseXor,4
BloomFilterAggregate,4
BloomFilterMightContain,4
CaseWhen,4
Cbrt,4
Ceil,4
CheckOverflow,4
CheckOverflowInTableInsert,4
Coalesce,4
CollectList,4
CollectSet,4
Concat,4
ConcatWs,4
Contains,4
Conv,4
Cos,4
Cosh,4
Cot,4
Count,4
CreateArray,4
CreateMap,4
CreateNamedStruct,4
CurrentRow$,4
DateAdd,4
DateAddInterval,4
DateDiff,4
DateFormatClass,4
DateSub,4
DayOfMonth,4
DayOfWeek,4
DayOfYear,4
DenseRank,4
Divide,4
DivideDTInterval,4
DivideYMInterval,4
DynamicPruningExpression,4
ElementAt,4
EndsWith,4
EqualNullSafe,4
EqualTo,4
Exp,4
Explode,4
Expm1,4
First,4
Flatten,4
Floor,4
FormatNumber,4
FromUTCTimestamp,4
FromUnixTime,4
GetArrayItem,4
GetArrayStructFields,4
GetJsonObject,4
GetMapValue,4
GetStructField,4
GetTimestamp,4
GreaterThan,4
GreaterThanOrEqual,4
Greatest,4
HiveGenericUDF,4
HiveSimpleUDF,4
Hour,4
Hypot,4
If,4
In,4
InSet,4
InSubqueryExec,4
InitCap,4
InputFileBlockLength,4
InputFileBlockStart,4
InputFileName,4
IntegralDivide,4
IsNaN,4
IsNotNull,4
IsNull,4
JsonToStructs,4
JsonTuple,4
KnownFloatingPointNormalized,4
KnownNotNull,4
Lag,4
LambdaFunction,4
Last,4
LastDay,4
Lead,4
Least,4
Length,4
LessThan,4
LessThanOrEqual,4
Like,4
Literal,4
Log,4
Log10,4
Log1p,4
Log2,4
Logarithm,4
Lower,4
MakeDecimal,4
MapConcat,4
MapEntries,4
MapFilter,4
MapKeys,4
MapValues,4
Max,4
Md5,4
MicrosToTimestamp,4
MillisToTimestamp,4
Min,4
Minute,4
MonotonicallyIncreasingID,4
Month,4
Multiply,4
MultiplyDTInterval,4
MultiplyYMInterval,4
Murmur3Hash,4
NaNvl,4
NamedLambdaVariable,4
NormalizeNaNAndZero,4
Not,4
NthValue,4
OctetLength,4
Or,4
ParseUrl,4
PercentRank,4
Percentile,4
PivotFirst,4
Pmod,4
PosExplode,4
Pow,4
PreciseTimestampConversion,4
PromotePrecision,4
PythonUDF,4
Quarter,4
RLike,4
RaiseError,4
Rand,4
Rank,4
RegExpExtract,4
RegExpExtractAll,4
RegExpReplace,4
Remainder,4
ReplicateRows,4
Reverse,4
Rint,4
Round,4
RoundCeil,4
RoundFloor,4
RowNumber,4
ScalaUDF,4
ScalarSubquery,4
Second,4
SecondsToTimestamp,4
Sequence,4
ShiftLeft,4
ShiftRight,4
ShiftRightUnsigned,4
Signum,4
Sin,4
Sinh,4
Size,4
SortArray,4
SortOrder,4
SparkPartitionID,4
SpecifiedWindowFrame,4
Sqrt,4
Stack,4
StartsWith,4
StddevPop,4
StddevSamp,4
StringInstr,4
StringLPad,4
StringLocate,4
StringRPad,4
StringRepeat,4
StringReplace,4
StringSplit,4
StringToMap,4
StringTranslate,4
StringTrim,4
StringTrimLeft,4
StringTrimRight,4
StructsToJson,4
Substring,4
SubstringIndex,4
Subtract,4
Sum,4
Tan,4
Tanh,4
TimeAdd,4
ToDegrees,4
ToRadians,4
ToUTCTimestamp,4
ToUnixTimestamp,4
TransformKeys,4
TransformValues,4
UnaryMinus,4
UnaryPositive,4
UnboundedFollowing$,4
UnboundedPreceding$,4
UnixTimestamp,4
UnscaledValue,4
Upper,4
VariancePop,4
VarianceSamp,4
WeekDay,4
WindowExpression,4
WindowSpecDefinition,4
XxHash64,4
Year,4
